SampleID	Locus	Reads	OutputDada2	OutputPostprocessing
DC3-1_S43_L001	PocGH01_12_v1-1106456-1106697-1AB	0	0	0
DC3-1_S43_L001	PvP01_12_v1-1184983-1185208-1AB	0	0	0
DC3-1_S43_L001	Pf3D7_08_v3-1365709-1365954-1B	70	69	69
DC3-1_S43_L001	Pf3D7_08_v3-1366626-1366856-1B	62	61	61
DC3-1_S43_L001	Pf3D7_08_v3-1370603-1370853-1B	38	38	38
DC3-1_S43_L001	Pf3D7_08_v3-1375025-1375284-1B	3	1	1
DC3-1_S43_L001	Pf3D7_08_v3-1386795-1387043-1B	6	6	6
DC3-1_S43_L001	Pf3D7_11_v3-1294284-1294580-1B	16	15	0
DC3-1_S43_L001	Pf3D7_11_v3-1902034-1902278-1B	0	0	0
DC3-1_S43_L001	Pf3D7_11_v3-1950401-1950636-1B	0	0	0
DC3-1_S43_L001	Pf3D7_11_v3-1968031-1968273-1B	0	0	0
DC3-1_S43_L001	Pf3D7_11_v3-2001721-2001954-1B	0	0	0
DC3-1_S43_L001	Pf3D7_11_v3-2001969-2002222-1B	0	0	0
DC3-1_S43_L001	Pf3D7_13_v3-1465010-1465307-1B	30	29	0
DC3-1_S43_L001	Pf3D7_13_v3-2770621-2770854-1B	58	56	56
DC3-1_S43_L001	Pf3D7_13_v3-2780346-2780575-1B	63	62	62
DC3-1_S43_L001	Pf3D7_13_v3-2814606-2814855-1B	123	121	121
DC3-1_S43_L001	Pf3D7_13_v3-2816310-2816554-1B	88	86	86
DC3-1_S43_L001	Pf3D7_13_v3-2840462-2840736-1B	5	5	5
DC3-1_S43_L001	Pf3D7_13_v3-2841390-2841688-1B2	1281	1254	0
DC3-1_S43_L001	Pf3D7_13_v3-2844334-2844629-1B2	2697	2645	0
DC3-1_S43_L001	Pf3D7_14_v3-854128-854427-1B	0	0	0
DC3-1_S43_L001	Pf3D7_03_v3-221185-221419-1B	59	57	57
DC3-1_S43_L001	Pf3D7_03_v3-221463-221712-1B	79	77	77
DC3-1_S43_L001	Pf3D7_03_v3-980765-980997-1B	0	0	0
DC3-1_S43_L001	Pf3D7_03_v3-981574-981823-1B	0	0	0
DC3-1_S43_L001	Pf3D7_03_v3-981921-982191-1B	0	0	0
DC3-1_S43_L001	Pf3D7_03_v3-982299-982523-1B	0	0	0
DC3-1_S43_L001	Pf3D7_04_v3-1077327-1077562-1B	0	0	0
DC3-1_S43_L001	Pf3D7_04_v3-1082776-1083049-1B	0	0	0
DC3-1_S43_L001	Pf3D7_04_v3-1083095-1083331-1B	0	0	0
DC3-1_S43_L001	Pf3D7_04_v3-1083411-1083668-1B	0	0	0
DC3-1_S43_L001	Pf3D7_14_v3-860289-860542-1B	0	0	0
DC3-1_S43_L001	Pf3D7_14_v3-860834-861066-1B	0	0	0
DC3-1_S43_L001	Pf3D7_01_v3-194742-194973-1B	155	142	142
DC3-1_S43_L001	Pf3D7_04_v3-748105-748359-1B	57	55	55
DC3-1_S43_L001	Pf3D7_04_v3-748374-748611-1B	110	109	109
DC3-1_S43_L001	Pf3D7_05_v3-958079-958350-1B	23	23	23
DC3-1_S43_L001	Pf3D7_05_v3-958372-958608-1B	91	89	89
DC3-1_S43_L001	Pf3D7_05_v3-958920-959168-1B	65	64	64
DC3-1_S43_L001	Pf3D7_05_v3-960810-961048-1B	70	69	69
DC3-1_S43_L001	Pf3D7_05_v3-961511-961758-1B	83	82	82
DC3-1_S43_L001	Pf3D7_06_v3-1214815-1215069-1B	0	0	0
DC3-1_S43_L001	Pf3D7_06_v3-1215236-1215502-1B	0	0	0
DC3-1_S43_L001	Pf3D7_06_v3-1215495-1215756-1B	0	0	0
DC3-1_S43_L001	Pf3D7_07_v3-403479-403716-1B	114	110	110
DC3-1_S43_L001	Pf3D7_07_v3-403801-404052-1B	24	24	24
DC3-1_S43_L001	Pf3D7_07_v3-404325-404590-1B	0	0	0
DC3-1_S43_L001	Pf3D7_07_v3-404776-405006-1B	0	0	0
