SampleID	Locus	Reads	OutputDada2	OutputPostprocessing
NTC11-1_S1_L001	Pf3D7_02_v3-291770-292017-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_02_v3-470437-470709-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_02_v3-503040-503288-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_02_v3-628941-629172-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_02_v3-630641-630907-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_03_v3-85507-85756-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_03_v3-515418-515657-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_03_v3-653961-654206-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_03_v3-855426-855697-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_03_v3-891553-891827-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-109939-110184-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-115455-115684-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-133581-133830-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-133928-134154-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-140317-140548-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-141741-141990-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-284121-284364-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-316593-316858-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-544454-544718-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-648065-648332-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-900526-900759-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-1005938-1006187-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-1037644-1037891-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_04_v3-1113397-1113639-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_05_v3-213027-213251-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_05_v3-350808-351052-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_05_v3-369676-369949-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_05_v3-395887-396136-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_05_v3-550803-551072-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_05_v3-641131-641404-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_05_v3-668763-669004-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_05_v3-796518-796759-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_05_v3-1188456-1188706-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_05_v3-1322099-1322341-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_06_v3-145285-145531-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_06_v3-176108-176338-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_06_v3-416462-416720-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_06_v3-532166-532407-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_06_v3-851492-851765-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_06_v3-1115900-1116168-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_06_v3-1128558-1128797-1A	0	0	0
